"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 27 09:32:35 YEKT 2024","Tue Aug 27 09:32:38 YEKT 2024","2694","","Добавление продукта в таблицу","","Добавить продукт Овощ без атрибута Экзотический в таблицу","","Добавить продукт Овощ без атрибута Экзотический в таблицу",""
"passed","Tue Aug 27 09:32:15 YEKT 2024","Tue Aug 27 09:32:34 YEKT 2024","19569","","Добавление продукта в таблицу","","Добавить продукт Фрукт Экзотический в таблицу","","Добавить продукт Фрукт Экзотический в таблицу",""
