"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Добавление продукта в таблицу","Добавить продукт Овощ без атрибута Экзотический в таблицу","0","0","1","0","0"
"","Добавление продукта в таблицу","Добавить продукт Фрукт Экзотический в таблицу","0","0","1","0","0"
